image_name,cell_row,cell_column,label
107679169 (1).jpg,1,1,0
107679169 (1).jpg,1,2,0
107679169 (1).jpg,1,3,0
107679169 (1).jpg,1,4,0
107679169 (1).jpg,1,5,0
107679169 (1).jpg,1,6,0
107679169 (1).jpg,1,7,0
107679169 (1).jpg,1,8,0
107679169 (1).jpg,2,1,0
107679169 (1).jpg,2,2,0
107679169 (1).jpg,2,3,0
107679169 (1).jpg,2,4,0
107679169 (1).jpg,2,5,0
107679169 (1).jpg,2,6,0
107679169 (1).jpg,2,7,0
107679169 (1).jpg,2,8,0
107679169 (1).jpg,3,1,0
107679169 (1).jpg,3,2,0
107679169 (1).jpg,3,3,1
107679169 (1).jpg,3,4,1
107679169 (1).jpg,3,5,1
107679169 (1).jpg,3,6,1
107679169 (1).jpg,3,7,1
107679169 (1).jpg,3,8,1
107679169 (1).jpg,4,1,1
107679169 (1).jpg,4,2,1
107679169 (1).jpg,4,3,1
107679169 (1).jpg,4,4,1
107679169 (1).jpg,4,5,1
107679169 (1).jpg,4,6,1
107679169 (1).jpg,4,7,1
107679169 (1).jpg,4,8,1
107679169 (1).jpg,5,1,1
107679169 (1).jpg,5,2,1
107679169 (1).jpg,5,3,1
107679169 (1).jpg,5,4,1
107679169 (1).jpg,5,5,1
107679169 (1).jpg,5,6,1
107679169 (1).jpg,5,7,1
107679169 (1).jpg,5,8,1
107679169 (1).jpg,6,1,1
107679169 (1).jpg,6,2,1
107679169 (1).jpg,6,3,1
107679169 (1).jpg,6,4,1
107679169 (1).jpg,6,5,1
107679169 (1).jpg,6,6,1
107679169 (1).jpg,6,7,1
107679169 (1).jpg,6,8,1
107679169 (1).jpg,7,1,1
107679169 (1).jpg,7,2,1
107679169 (1).jpg,7,3,1
107679169 (1).jpg,7,4,1
107679169 (1).jpg,7,5,1
107679169 (1).jpg,7,6,1
107679169 (1).jpg,7,7,1
107679169 (1).jpg,7,8,1
107679169 (1).jpg,8,1,1
107679169 (1).jpg,8,2,1
