image_name,cell_row,cell_column,label
-NeNQ3KDNlitNqsWDKM8.jpg,1,1,0
-NeNQ3KDNlitNqsWDKM8.jpg,1,2,0
-NeNQ3KDNlitNqsWDKM8.jpg,1,3,3
-NeNQ3KDNlitNqsWDKM8.jpg,1,4,3
-NeNQ3KDNlitNqsWDKM8.jpg,1,5,3
-NeNQ3KDNlitNqsWDKM8.jpg,1,6,3
-NeNQ3KDNlitNqsWDKM8.jpg,1,7,0
-NeNQ3KDNlitNqsWDKM8.jpg,1,8,0
-NeNQ3KDNlitNqsWDKM8.jpg,2,1,0
-NeNQ3KDNlitNqsWDKM8.jpg,2,2,0
-NeNQ3KDNlitNqsWDKM8.jpg,2,3,3
-NeNQ3KDNlitNqsWDKM8.jpg,2,4,3
-NeNQ3KDNlitNqsWDKM8.jpg,2,5,3
-NeNQ3KDNlitNqsWDKM8.jpg,2,6,3
-NeNQ3KDNlitNqsWDKM8.jpg,2,7,0
-NeNQ3KDNlitNqsWDKM8.jpg,2,8,0
-NeNQ3KDNlitNqsWDKM8.jpg,3,1,0
-NeNQ3KDNlitNqsWDKM8.jpg,3,2,0
-NeNQ3KDNlitNqsWDKM8.jpg,3,3,3
-NeNQ3KDNlitNqsWDKM8.jpg,3,4,3
-NeNQ3KDNlitNqsWDKM8.jpg,3,5,3
-NeNQ3KDNlitNqsWDKM8.jpg,3,6,3
-NeNQ3KDNlitNqsWDKM8.jpg,3,7,0
-NeNQ3KDNlitNqsWDKM8.jpg,3,8,0
-NeNQ3KDNlitNqsWDKM8.jpg,4,1,0
-NeNQ3KDNlitNqsWDKM8.jpg,4,2,0
-NeNQ3KDNlitNqsWDKM8.jpg,4,3,3
-NeNQ3KDNlitNqsWDKM8.jpg,4,4,3
-NeNQ3KDNlitNqsWDKM8.jpg,4,5,3
-NeNQ3KDNlitNqsWDKM8.jpg,4,6,3
-NeNQ3KDNlitNqsWDKM8.jpg,4,7,0
-NeNQ3KDNlitNqsWDKM8.jpg,4,8,0
-NeNQ3KDNlitNqsWDKM8.jpg,5,1,0
-NeNQ3KDNlitNqsWDKM8.jpg,5,2,0
-NeNQ3KDNlitNqsWDKM8.jpg,5,3,3
-NeNQ3KDNlitNqsWDKM8.jpg,5,4,3
-NeNQ3KDNlitNqsWDKM8.jpg,5,5,3
-NeNQ3KDNlitNqsWDKM8.jpg,5,6,3
-NeNQ3KDNlitNqsWDKM8.jpg,5,7,0
-NeNQ3KDNlitNqsWDKM8.jpg,5,8,0
-NeNQ3KDNlitNqsWDKM8.jpg,6,1,0
-NeNQ3KDNlitNqsWDKM8.jpg,6,2,0
-NeNQ3KDNlitNqsWDKM8.jpg,6,3,3
-NeNQ3KDNlitNqsWDKM8.jpg,6,4,3
-NeNQ3KDNlitNqsWDKM8.jpg,6,5,3
-NeNQ3KDNlitNqsWDKM8.jpg,6,6,3
-NeNQ3KDNlitNqsWDKM8.jpg,6,7,0
-NeNQ3KDNlitNqsWDKM8.jpg,6,8,0
-NeNQ3KDNlitNqsWDKM8.jpg,7,1,0
-NeNQ3KDNlitNqsWDKM8.jpg,7,2,0
-NeNQ3KDNlitNqsWDKM8.jpg,7,3,3
-NeNQ3KDNlitNqsWDKM8.jpg,7,4,3
-NeNQ3KDNlitNqsWDKM8.jpg,7,5,3
-NeNQ3KDNlitNqsWDKM8.jpg,7,6,3
-NeNQ3KDNlitNqsWDKM8.jpg,7,7,0
-NeNQ3KDNlitNqsWDKM8.jpg,7,8,0
-NeNQ3KDNlitNqsWDKM8.jpg,8,1,0
-NeNQ3KDNlitNqsWDKM8.jpg,8,2,0
-NeNQ3KDNlitNqsWDKM8.jpg,8,3,3
-NeNQ3KDNlitNqsWDKM8.jpg,8,4,3
-NeNQ3KDNlitNqsWDKM8.jpg,8,5,3
-NeNQ3KDNlitNqsWDKM8.jpg,8,6,3
-NeNQ3KDNlitNqsWDKM8.jpg,8,7,0
-NeNQ3KDNlitNqsWDKM8.jpg,8,8,0
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,1,1,0
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,1,2,0
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,1,3,0
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,1,4,0
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,1,5,0
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,1,6,0
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,1,7,0
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,1,8,0
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,2,1,0
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,2,2,0
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,2,3,0
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,2,4,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,2,5,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,2,6,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,2,7,0
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,2,8,0
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,3,1,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,3,2,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,3,3,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,3,4,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,3,5,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,3,6,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,3,7,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,3,8,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,4,1,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,4,2,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,4,3,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,4,4,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,4,5,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,4,6,3
1549449753_VINEX-CRICKET-STUMPS-SET-PRIMA.jpg,4,7,3
