x1,x2,y
4.29394679,8.76033686,1
42.27594629,-20.14922882,4
17.56022683,0.10077442,2
76.32785635,-34.76058358,4
25.95532912,9.63308865,2
59.49227488,-19.2666289,4
63.81449226,-12.7653489,4
-21.2749404,-5.712676509,1
27.58494681,8.67057643,2
16.2490666,-17.17138296,2
22.45946918,2.49960185,2
30.13307161,4.46160824,2
26.75975241,6.36771591,2
17.07786063,8.35399695,2
25.47601671,10.88629825,3
79.74637272,-21.9464382,4
19.13578916,-29.16658485,3
29.40584933,18.4763494,2
56.39142819,-24.67847907,4
41.47939645,-5.295500753,4
14.46488857,-15.74728723,3
-0.85357482,-3.02529417,1
4.011181424,3.56206427,2
53.26872741,0.483904977,4
31.68289797,-27.25905336,3
42.38837204,-8.650838717,4
15.10378679,-30.00318529,3
23.98418917,-10.36704604,3
52.5014669,-13.27727175,4
3.7760501,2.71563196,1
40.93502492,-2.875765848,4
-15.35727355,4.02350955,1
1.79078264,14.1141355,1
-8.03165335,-9.166681529,1
53.26539028,-10.80390195,4
53.16439101,-28.54679203,4
-3.55931287,9.87821277,1
6.495325061,-25.97252652,3
64.97265664,-6.079851379,4
6.534183503,1.73793379,3
54.50987451,-28.81951667,4
18.12906439,-31.0576087,3
1.26358376,-14.61674814,1
-8.17554177,15.78456859,1
77.33037678,-8.338864049,4
-1.6562084,-3.399831328,3
52.40971755,3.980982479,4
19.32103693,-7.912700155,2
52.33613867,-34.98735029,4
-6.80318624,-25.79042455,3
20.05869685,-0.55298713,2
50.08262986,-25.57682235,4
15.76418593,-33.92741962,3
-4.78891368,-7.8590849,1
-14.54967253,3.97291242,1
18.09801584,1.625639721,3
60.00097486,-11.65554618,4
10.92722288,-15.55258642,2
61.67496955,-29.90302354,4
-13.00104938,-18.00933473,1
12.38806572,4.6986445,1
1.13328565,1.82159214,1
15.94914293,18.55820594,2
-1.3879082,20.95534715,1
7.386876024,8.88805543,2
20.18942905,25.49915791,2
52.62393951,-30.53686783,4
17.39217182,16.94899423,2
15.99101466,-34.18363849,3
22.18912669,13.20009574,2
45.31005449,-20.42216235,4
30.902611,-32.51572833,3
21.18815889,-12.70119239,3
13.03801634,18.36738375,2
18.54678956,-18.02487733,3
21.19168256,-17.39762607,3
4.26762313,15.47204677,1
13.00822252,9.07554957,2
49.07597555,-31.89844238,3
41.01365154,-13.55913474,4
49.18792536,-8.965435636,4
11.97706552,-33.88174506,3
61.88529444,-46.40397162,4
2.72454573,-0.46102689,1
-6.35011287,-0.08085132,1
56.16377579,-20.05742709,4
56.25495268,-23.41926181,4
6.403917435,-3.52426771,1
-29.03073898,6.95390308,1
-8.17391535,-10.91940435,1
29.18663341,-23.98042976,3
14.46516314,-35.08704729,3
20.63320422,-14.72317731,3
-8.99059295,-4.39702233,1
13.9639808,1.83647228,2
13.34644366,-21.83486709,3
39.25644354,-3.28177646,2
-23.76656872,4.4354444,1
64.35671434,-22.40289617,4
-21.76613799,1.76501467,1
26.89592555,12.90172602,2
12.66559999,36.07335815,2
-7.24662628,-17.340958,1
-10.18942785,21.45658475,1
54.39239968,-18.9135922,4
53.30378611,-21.23173485,4
48.086929,-4.82179289,2
63.60954812,-10.84414643,4
4.51571158,-39.40219614,3
15.29305655,-15.29906444,3
17.72395498,13.22427884,2
34.72214831,22.90615993,2
17.25977542,11.2271554,1
5.776945431,-17.2737894,3
34.30083358,6.01338987,2
10.83748921,7.01397236,1
3.65286125,-24.87476226,1
1.17360349,-29.85358274,3
19.64996151,-16.10479824,4
-6.09470801,-9.215290177,3
-17.24769621,9.68353276,1
-11.23771128,12.60495736,2
-9.43256793,-7.786005801,1
4.91300098,20.30323347,1
22.48050299,-12.42780007,2
34.98871352,12.98982265,2
16.50422954,-0.57228441,2
22.85931096,-23.91914765,3
55.27361466,-41.13207651,4
18.59761373,-9.418360321,3
55.35458343,-11.12824484,4
60.81061045,-20.85933222,4
25.92957384,-2.12990359,2
-13.0762725,0.57829361,1
26.57099589,2.44058028,2
-3.8531574,-20.00561253,1
21.00772217,-15.96707345,3
7.956702744,-34.03104305,3
10.80544215,2.40836787,2
11.81840791,7.42692148,2
21.4624386,-13.78526927,3
49.2344012,-26.51903319,4
63.88297357,-12.11960748,4
72.90407345,-14.59367974,4
11.93312618,8.79278944,1
-5.80607323,-13.67465113,3
14.77386391,-2.597969962,3
54.9599319,-22.87997438,4
70.13861413,-13.00394413,4
-5.28979475,21.39827632,1
-0.23650664,-18.08827637,3
10.24990366,3.03946745,2
62.77436071,-6.000766158,4
-4.0730092,9.43227746,1
15.74009889,-29.82099565,3
50.68938534,-21.30929182,4
-3.895148348,-4.07855925,2
37.55563265,-16.06327013,4
5.283957272,-46.66201532,3
-18.45010872,15.35456848,1
58.19734651,-27.64428958,4
11.95820222,-17.31695926,3
14.11697948,0.311474058,3
3.55273213,-20.0671364,3
61.96702674,-9.111213158,4
4.53711789,-20.58469002,3
51.01859523,-7.992917959,4
2.00725557,-24.70149323,3
-15.15439018,-1.3962717,1
23.66021921,11.98735248,2
37.7188607,-3.89973846,2
8.67974595,14.6390917,1
-13.12931222,0.02694959,1
-15.69557541,-6.469217178,1
32.58235852,5.14561142,2
-2.26653972,-15.70883728,3
51.22638579,-15.42630712,4
-18.58278897,-7.81365288,1
46.85664654,-12.06943389,4
22.95678057,-14.72026842,1
12.95538557,-24.23983614,3
8.689070969,-4.740824892,3
