x,y
1,-0.02893889
2,-0.007750544
3,-0.117973565
4,-0.034393262
5,0.164029239
6,0.029996426
7,0.073222194
8,0.103869156
9,0.150204413
10,0.335609689
11,0.315430136
12,0.408770686
13,0.039509103
14,0.195650457
15,0.363129428
16,0.245253604
17,0.324179775
18,0.244142094
19,0.13867772
20,0.221320485
21,0.548093755
22,0.348448037
23,0.5695293
24,0.493466695
25,0.492876356
26,0.600724371
27,0.294974629
28,0.408472441
29,0.453481507
30,0.407787023
31,0.489390014
32,0.321633801
33,0.402923637
34,0.620271004
35,0.597728516
36,0.718181735
37,0.568362165
38,0.577207486
39,0.58720357
40,0.546952086
41,0.68097066
42,0.551242669
43,0.731557688
44,0.67688794
45,0.784580175
46,0.844134438
47,0.689732026
48,0.700173032
49,0.750057058
50,0.700185289
51,0.937404369
52,0.781643549
53,0.885518273
54,0.846854542
55,0.960720861
56,0.808134897
57,0.570866109
58,0.908966143
59,0.753803283
60,0.915764553
61,0.777230473
62,0.873500402
63,0.835608855
64,0.874218089
65,0.840829226
66,0.815164933
67,0.9401456
68,0.805531223
69,0.90507614
70,0.909658014
71,0.881656526
72,1.125341306
73,0.769364696
74,0.964380145
75,0.845014413
76,0.836190631
77,0.969799342
78,1.196946712
79,1.123836763
80,1.003132455
81,0.922395057
82,1.194524
83,0.969097032
84,0.905379419
85,0.860447668
86,0.939161251
87,1.165439046
88,1.107965163
89,1.055600528
90,0.836316718
91,0.972693892
92,1.108570682
93,0.967254209
94,0.929361661
95,1.001402767
96,0.923592249
97,0.95707532
98,1.229771403
99,1.042789334
100,1.109686343
101,0.986574199
102,0.932592719
103,1.040159005
104,0.821748985
105,1.112844281
106,0.939085579
107,0.654074435
108,0.864146962
109,0.90412942
110,1.138614447
111,0.92568145
112,0.77880096
113,0.891817748
114,0.823443081
115,0.748906076
116,0.831962553
117,0.705390073
118,1.151339885
119,0.902444381
120,0.928532365
121,0.74202405
122,0.977614827
123,0.890883415
124,0.735174923
125,0.808378258
126,0.769053844
127,0.927305646
128,0.771645844
129,0.885668945
130,0.839027638
131,0.724792021
132,0.738152964
133,0.645112671
134,0.66953999
135,0.567514959
136,0.65222065
137,0.645509627
138,0.647322537
139,0.905994208
140,0.657304999
141,0.481540047
142,0.708585824
143,0.573012958
144,0.728722498
145,0.578953236
146,0.719869681
147,0.542916323
148,0.475655359
149,0.712907341
150,0.363388735
151,0.527299256
152,0.371840661
153,0.573287668
154,0.48246711
155,0.379708506
156,0.368970216
157,0.479601134
158,0.268105982
159,0.28064083
160,0.382806407
161,0.400595322
162,0.137516677
163,0.311597173
164,0.159464032
165,0.194636179
166,0.373165814
167,0.325105064
168,0.188558907
169,0.097491313
170,0.204681122
171,0.314766636
172,0.229788018
173,0.161983627
174,0.112098207
175,0.19310466
176,0.161450277
177,0.133263264
178,-0.036262731
179,-0.251506111
180,-0.056704703
181,0.112467477
182,-0.053928651
183,-0.11614079
184,-0.273294862
185,-0.147592978
186,-0.185344652
187,-0.182547261
188,-0.130482219
189,-0.179864168
190,-0.047395488
191,-0.347188805
192,-0.357258843
193,-0.334664537
194,-0.24483257
195,-0.041450553
196,-0.138658651
197,-0.330209771
198,-0.386891482
199,-0.199159622
200,-0.311218832
201,-0.400218118
202,-0.378370886
203,-0.272001272
204,-0.417302412
205,-0.402374097
206,-0.360330299
207,-0.508204738
208,-0.672124777
209,-0.48697682
210,-0.377771739
211,-0.532406238
212,-0.463517945
213,-0.599422855
214,-0.650937104
215,-0.529865861
216,-0.626282108
217,-0.517577493
218,-0.520359845
219,-0.670383573
220,-0.632706782
221,-0.56398346
222,-0.523171085
223,-0.721682613
224,-0.742966753
225,-0.738728694
226,-0.598339406
227,-0.806651766
228,-0.80807155
229,-0.780134026
230,-0.895681399
231,-0.819611671
232,-0.827926326
233,-0.792648019
234,-0.740949208
235,-0.662209868
236,-0.74790667
237,-0.96579736
238,-0.697580508
239,-0.776468591
240,-0.859567706
241,-0.740214336
242,-0.828757816
243,-0.906413028
244,-0.957027211
245,-0.817648924
246,-1.134661154
247,-0.935993682
248,-1.0398952
249,-1.13559213
250,-0.91742992
251,-0.958308888
252,-1.15346103
253,-0.984272644
254,-0.91919863
255,-0.901637333
256,-0.940857588
257,-0.902455892
258,-0.958897131
259,-0.94488322
260,-0.996147645
261,-1.091347702
262,-0.965008952
263,-0.900291609
264,-0.767028301
265,-1.040338565
266,-0.996388847
267,-1.211328843
268,-1.078602284
269,-0.870965887
270,-1.025433653
271,-0.942959122
272,-0.932645794
273,-1.093591964
274,-0.996013183
275,-0.972941458
276,-1.025690811
277,-0.971971246
278,-1.055666761
279,-1.103014111
280,-0.932058661
281,-0.842235273
282,-0.959984545
283,-0.981300217
284,-0.999742265
285,-0.824522793
286,-0.851261923
287,-0.815863632
288,-0.888743288
289,-0.918124286
290,-0.889728041
291,-0.907246278
292,-1.047195682
293,-0.705326659
294,-1.028092418
295,-0.811077218
296,-1.02238645
297,-0.98039116
298,-0.953838691
299,-0.994385414
300,-0.873034438
301,-0.942090244
302,-0.83236176
303,-0.636929057
304,-0.755278311
305,-0.988310967
306,-0.761245335
307,-0.791167259
308,-0.59376762
309,-0.726631223
310,-0.791890601
311,-0.880956735
312,-0.738465862
313,-0.612356625
314,-0.808742917
315,-0.783635912
316,-0.596205867
317,-0.590321176
318,-0.698085072
319,-0.7048101
320,-0.669970873
321,-0.518698637
322,-0.60979915
323,-0.575949402
324,-0.424644694
325,-0.486639577
326,-0.437488462
327,-0.372599305
328,-0.561197007
329,-0.525256545
330,-0.483279553
331,-0.439148877
332,-0.519629038
333,-0.431296502
334,-0.509234459
335,-0.387269522
336,-0.501456397
337,-0.413966429
338,-0.235451025
339,-0.392790278
340,-0.411762342
341,-0.26702681
342,-0.608527293
343,-0.28217313
344,-0.254961436
345,-0.024376422
346,-0.298009804
347,-0.305173192
348,0.020631592
349,-0.15408466
350,-0.174234773
351,-0.105226744
352,-0.183911523
353,-0.242972588
354,-0.027433081
355,-0.078254856
356,-0.079648233
357,-0.183908432
358,-0.114461156
359,0.030785669
360,-0.095163021
361,0.410953659
362,0.486215347
363,0.457727983
364,0.23112512
365,0.377695679
366,0.366991538
367,0.457496192
368,0.406321649
369,0.238156996
370,0.336164062
371,0.483718847
372,0.465472992
373,0.556059591
374,0.275926734
375,0.307925498
376,0.338567108
377,0.476535383
378,0.388214351
379,0.527294373
380,0.436004868
381,0.395245096
382,0.564967173
383,0.43483978
384,0.453187426
385,0.387801004
386,0.369495485
387,0.314896495
388,0.259816978
389,0.366715118
390,0.392731878
391,0.573762783
392,0.509841191
393,0.357368886
394,0.487379463
395,0.286466079
396,0.407980644
397,0.44417605
398,0.228261164
399,0.518270578
400,0.331219988
401,0.219954353
402,0.277730145
403,0.205924479
404,0.362796333
405,0.487580406
406,0.349844123
407,0.284318272
408,0.374641604
409,0.409617452
410,0.434655948
411,0.455756791
412,0.387498206
413,0.405356661
414,0.526304951
415,0.573075036
416,0.333213867
417,0.466121165
418,0.419857698
419,0.551094819
420,0.513023074
421,0.528621614
422,0.391972939
423,0.527474063
424,0.494914111
425,0.298059254
426,0.332791427
427,0.56436072
428,0.381894715
429,0.560569612
430,0.495893471
431,0.323900914
432,0.378101357
433,0.303261185
434,0.453023349
435,0.081041404
436,0.55713976
437,0.466088382
438,0.519477088
439,0.416765939
440,0.583483084
441,0.459960912
442,0.343841256
443,0.435169883
444,0.534074176
445,0.300389521
446,0.43885229
447,0.367385639
448,0.293456052
449,0.658620024
450,0.46673461
451,0.502409866
452,0.464539472
453,0.294875221
454,0.461304076
455,0.589769694
456,0.593539956
457,0.405291867
458,0.609582711
459,0.608912573
460,0.541457697
461,0.627564854
462,0.56349687
463,0.515715615
464,0.2695064
465,0.533831026
466,0.473633142
467,0.383250038
468,0.452981294
469,0.369378647
470,0.591660013
471,0.453816471
472,0.338604002
473,0.487156072
474,0.344858894
475,0.341751281
476,0.295451644
477,0.409195932
478,0.430664195
479,0.581741708
480,0.420261243
481,0.596984938
482,0.348677312
483,0.390424434
484,0.376550487
485,0.33988835
486,0.427126784
487,0.475461571
488,0.415962913
489,0.489330026
490,0.588736134
491,0.586350939
492,0.321129869
493,0.522339879
494,0.379099811
495,0.47747061
496,0.49951548
497,0.430321357
498,0.416431318
499,0.511187737
500,0.506535406
501,0.328364748
502,0.408441337
503,0.63286543
504,0.445001635
505,0.560529298
506,0.486505652
507,0.438187456
508,0.516269864
509,0.525814683
510,0.590554673
511,0.489779913
512,0.42675706
513,0.383332519
514,0.259533905
515,0.568625801
516,0.518346567
517,0.621693098
518,0.467359514
519,0.583796197
520,0.568571879
521,0.400299849
522,0.52170298
523,0.681685976
524,0.424677574
525,0.531002256
526,0.591741452
527,0.503689204
528,0.602567868
529,0.58310779
530,0.446484092
531,0.544481186
532,0.503557895
533,0.579668491
534,0.423357741
535,0.524217806
536,0.541023774
537,0.568087906
538,0.555888749
539,0.433021894
540,0.442636548
541,0.484866349
542,0.413710134
543,0.741663777
544,0.551118473
545,0.504790597
546,0.526423424
547,0.507677822
