image_filename,cell_number,cell_row,cell_col,label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135
IMG_20250705_121136381~2.jpg,13,1,4,1,0.001066667,0.0116,0.038666667,0.0644,0.3568,0.4996,0.027866667,0,0.002266667,0.019733333,0.041066667,0.107466667,0.562933333,0.262666667,0.003866667,0,0.0052,0.033866667,0.060266667,0.349866667,0.526266667,0.024133333,0.0004,0,155.844,27.34803705,-1.592339008,143.9350667,26.36298763,-1.534390725,125.4818667,24.89344367,-1.452091107,18.2796,1.297005721,50.85266667,11.98034054,155.844,27.34803705,18.2796,50.85266667,153.3946667,26.78593608,129.3494667,0.751624717,139.4670667,2.252668505,0.0604,0.022266667,0.027333333,0.033866667,0.029466667,0.023733333,0.019733333,0.023866667,0.02,0.024666667,0.028,0.0356,0.0348,0.035733333,0.026,0.0284,0.0224,0.019466667,0.026,0.026933333,0.020133333,0.023066667,0.019066667,0.014266667,0.0484,0.3064,0.29549488,0.10041557,0.259603737,0.062446773,0.873749939,0.027741919,0.515629356,0.020868437,0.80835587,0.065014997,255,0,252.1676,26.2539453,255,0,255,0,255,0,255,0,255,0,255,0,8.903916101,0.157066667,65.22971354,61.83386724,558.0573447,-0.105194259,1.854744069,8.334666667,12.29363553,0.138358249,0.092923478,0.455026617,0,429,44,145.5196,150,26.46929824,700.6237492,17,210,193,-1.550863282,3.179911598,137,150,162,0.181895073,108.6588,6.479477457,890.0078712,12778.1931,1091397,3573669.586,3101389.448,0.867844487
CIMG0113.JPG,37,4,4,1,0.000133333,0.2368,0.419066667,0.112266667,0.031466667,0.083333333,0.116933333,0,0,0.005866667,0.258133333,0.344,0.169733333,0.1612,0.061066667,0,0.000266667,0.3396,0.367333333,0.1088,0.1076,0.0556,0.0208,0,100.4726667,51.13749752,1.082167295,124.9332,37.54124049,0.531903277,87.27546667,39.26458775,1.180143657,48.07026667,14.19438372,85.24146667,22.71957072,127.3062667,41.01680876,48.07026667,85.24146667,125.9072,39.69680661,111.574,9.56517245,146.0441333,4.587990001,0.026666667,0.012533333,0.018,0.020533333,0.0184,0.020133333,0.025333333,0.027866667,0.033333333,0.039466667,0.058,0.081066667,0.095066667,0.0852,0.053466667,0.0468,0.0312,0.025066667,0.0204,0.0164,0.012,0.012933333,0.010533333,0.0084,0.023466667,0.177733333,0.167789601,0.048371554,0.163195794,0.041419339,0.918861483,0.020039901,0.454758857,0.012225174,0.948624775,0.015371419,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,8.861436186,0.0412,41.94270034,38.32028559,355.1140662,0.119826515,1.793385069,4.269333333,5.988125203,0.13012031,0.104146449,0.452998048,0,340,44,113.3150667,100,41.12697817,1691.428333,48,215,167,0.808859978,-0.500482053,81,100,139.25,0.362943599,110.3993333,7.022868124,704.5947717,10415.92729,849863,3445633.368,1838827.42,0.533668915
IMG_3416.JPG,20,2,3,0,0,0.001466667,0.043333333,0.154266667,0.243333333,0.4544,0.103066667,0.000133333,0.000133333,0.018666667,0.138666667,0.3808,0.432533333,0.0292,0,0,0.007066667,0.1336,0.545066667,0.308266667,0.006,0,0,0,156.9889333,31.30661289,-0.710753677,121.3532,24.31574901,-0.586023767,85.14253333,19.36141397,-0.414923483,15.26546667,2.164638719,116.4845333,18.4588595,156.9892,31.3062169,15.26546667,116.4845333,136.3590667,25.83182542,137.0653333,3.677136325,153.0794667,5.57784472,0.085066667,0.0412,0.029466667,0.017066667,0.012266667,0.0092,0.005066667,0.005333333,0.0072,0.0076,0.007866667,0.006133333,0.0072,0.0112,0.006133333,0.0084,0.005866667,0.006533333,0.006,0.0084,0.006933333,0.008266667,0.0168,0.0388,0.062,0.574,0.671654717,0.114607042,0.525714582,0.061841588,0.751688639,0.025794838,0.407717484,0.011691771,0.522481214,0.082068062,255,0,255,0,255,0,255,0,255,0,254.7249333,7.752449398,255,0,255,0,8.901884051,0.3508,98.26981107,68.96759988,492.2966585,0.054878957,1.821223622,36.07,47.14506109,0.149653058,0.073360344,0.339159417,0,1998,47,127.8946667,133,25.44833927,647.6179716,35,189,154,-0.625347539,-0.077269516,111,133,147,0.198978893,98.5944,6.613298815,1485.853169,11194.96397,959210,3009723.773,8134174.997,2.70263174
CIMG0217.JPG,38,4,5,0,0,0,0.000133333,0.1928,0.787066667,0.02,0,0,0,0,0.0012,0.3928,0.602,0.004,0,0,0,0.000133333,0.223066667,0.7648,0.012,0,0,0,137.1461333,11.02508556,-0.043600058,130.224,10.79980049,-0.065218539,103.4834667,10.50299608,0.033159377,23.8812,2.535380292,62.90213333,5.613343221,137.1568,11.01562286,23.8812,62.90213333,138.6993333,10.69734544,126.078,1.529939868,143.4610667,1.374221305,0.070266667,0.044666667,0.028133333,0.0128,0.009066667,0.008133333,0.006666667,0.005866667,0.004533333,0.005733333,0.005066667,0.0064,0.003866667,0.009333333,0.004,0.008933333,0.002933333,0.005866667,0.006,0.007333333,0.0092,0.017066667,0.026,0.034133333,0.0628,0.5952,0.315184405,0.049211927,0.312902137,0.047422661,0.843777158,0.02353323,0.543658293,0.016898103,0.377601381,0.097252077,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,8.919254015,0.162666667,44.8230234,28.09617363,231.6592325,-0.019915108,1.894030099,18.06013333,23.59665682,0.15311336,0.065833704,0.275836128,0,2303,46,129.2465333,129,10.7213131,114.9465546,86,170,84,-0.042254992,0.178116443,122,129,136,0.082952423,64.24226667,5.457998463,751.3993061,11206.35963,969349,1757998.087,3877496.708,2.205631927
CIMG0063.JPG,18,2,1,0,0.588266667,0.0352,0.0568,0.072533333,0.081466667,0.1396,0.026133333,0,0.587333333,0.036933333,0.057066667,0.0736,0.082666667,0.1404,0.022,0,0.602133333,0.045733333,0.060533333,0.095333333,0.132133333,0.064,0.000133333,0,57.40866667,71.99899855,0.752647409,57.6912,71.46928741,0.759633659,48.92026667,62.73910032,0.784513188,31.21906667,25.36882358,93.1748,98.44377064,58.6932,72.55920714,31.21906667,93.1748,59.6544,74.7073867,126.2686667,2.302278195,132.6878667,6.07192771,0.022133333,0.010933333,0.0092,0.0112,0.010933333,0.0096,0.0136,0.018266667,0.019733333,0.023066667,0.030933333,0.042666667,0.049066667,0.040666667,0.024133333,0.030133333,0.0184,0.026,0.015466667,0.013733333,0.0176,0.018533333,0.021866667,0.017466667,0.2872,0.197466667,0.231609105,0.062559155,0.173812102,0.03269818,0.918859179,0.013771274,0.599568825,0.003867377,0.971284227,0.007821369,122.8354667,117.640506,125.0502667,117.1170253,122.6458667,117.6295799,125.4121333,115.34183,123.8164,117.5732057,135.9232,114.698323,124.0064,117.5740741,145.7546667,113.2553155,8.135471324,0.102133333,39.67936025,66.41287302,415.5502376,0.253274925,1.083958489,9.857466667,23.54523071,0.10153329,0.13216947,0.999999999,0,365,22,56.60066667,4,70.59005123,4982.955333,0,206,206,0.756629868,-1.119952562,1,4,124,1.247159358,51.4228,5.486430681,1288.086015,7729.182713,424505,4248047.582,5412597.531,1.27413769
CIMG0495.JPG,60,7,3,0,0.008133333,0.4028,0.306533333,0.1852,0.083333333,0.013866667,0.000133333,0,0,0.106,0.476133333,0.255333333,0.130533333,0.029333333,0.002666667,0,0.077466667,0.42,0.255866667,0.1632,0.0744,0.009066667,0,0,79.31173333,31.96383199,0.775207406,96.1288,29.46023666,0.78549809,71.286,34.74631017,0.711248766,50.57386667,11.79294748,75.59573333,40.99192484,96.2576,29.50177919,50.57386667,75.59573333,98.32226667,31.13833239,116.4134667,6.031371761,140.348,6.302229447,0.0424,0.0204,0.0228,0.021733333,0.022,0.022,0.0212,0.0236,0.028533333,0.032133333,0.043466667,0.057733333,0.056933333,0.050133333,0.036,0.023866667,0.016266667,0.015066667,0.013333333,0.014133333,0.0124,0.018533333,0.017333333,0.020266667,0.034,0.313733333,0.377004414,0.102168965,0.329084687,0.068251418,0.840208159,0.030981892,0.409555818,0.020531255,0.810157184,0.052044516,255,0,253.8785333,15.00657786,255,0,255,0,255,0,254.5156,10.35742037,255,0,254.2881333,11.74439068,8.86731768,0.212133333,75.17394416,63.23592217,550.178153,0.227571598,1.834501944,14.13333333,21.30765677,0.134263355,0.098747807,0.410215873,0,412,42,88.27093333,81,30.39766979,924.0183285,29,203,174,0.80312279,0.004029225,65,81,107,0.34436783,106.7690667,6.779196504,1052.119433,8016.31865,662032,3632338.482,4258557.266,1.172400999
IMG_3411.JPG,34,4,1,1,0,0.03,0.344133333,0.454266667,0.151066667,0.011733333,0.004933333,0.003866667,0.0032,0.192,0.577066667,0.2032,0.0124,0.007066667,0.004933333,0.000133333,0.039333333,0.643733333,0.285066667,0.017866667,0.008266667,0.0052,0.000533333,0,105.1110667,25.82574034,0.808314578,82.14253333,22.81903484,1.345811253,58.23746667,19.69851457,2.012764472,15.30466667,1.543279481,114.8314667,22.44334786,105.1110667,25.82574034,15.30466667,114.8314667,93.188,24.3710728,134.1129333,2.426557107,145.6377333,4.706601342,0.067733333,0.0388,0.029333333,0.019733333,0.011066667,0.010266667,0.007333333,0.008,0.0084,0.008266667,0.008933333,0.010666667,0.0128,0.0156,0.010133333,0.0088,0.006666667,0.007733333,0.005466667,0.008266667,0.010666667,0.020133333,0.0264,0.030533333,0.0592,0.549066667,0.477568533,0.080466996,0.401562501,0.05989758,0.806652607,0.028502929,0.456325635,0.020036764,0.611716912,0.06538191,255,0,255,0,255,0,255,0,255,0,254.7450667,6.811857969,255,0,255,0,8.88937491,0.276133333,73.82392808,62.27336651,602.9593684,-0.00170718,1.746671377,25.13786667,34.23266093,0.147400057,0.077788181,0.381844484,0,148,46,86.278,85,23.06139449,531.827916,20,232,212,1.231036665,4.840788382,71,85,99,0.267291714,113.8929333,6.425006782,1145.77442,7648.863313,647085,2557362.958,6035945.191,2.360222342
DSC00182.JPG,51,6,2,1,0,0,0.218266667,0.725733333,0.045866667,0.010133333,0,0,0,0,0.2836,0.678933333,0.027866667,0.0096,0,0,0,0.084533333,0.486666667,0.4012,0.02,0.0076,0,0,107.9558667,14.05335733,1.015507546,105.3508,14.23931667,1.177721094,89.4376,19.33139001,0.582736406,27.40093333,13.83562259,46.33653333,22.266886,108.2624,14.30244546,27.40093333,46.33653333,113.0870667,14.73995091,126.0432,2.052250901,137.4132,4.425539413,0.0472,0.032133333,0.026,0.015066667,0.010133333,0.011733333,0.008933333,0.011733333,0.015333333,0.017333333,0.018266667,0.0196,0.016666667,0.0168,0.014666667,0.0128,0.010533333,0.010666667,0.007066667,0.007333333,0.007466667,0.010533333,0.016533333,0.024933333,0.050666667,0.559866667,0.063849715,0.008392481,0.063849715,0.008392481,0.968075143,0.004196241,0.692430651,0.003892248,0.892324788,0.014375402,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,8.913387176,0.004533333,19.95904617,14.66889485,136.0147051,-0.292717377,1.835157665,7.721733333,10.15925157,0.152936975,0.06624243,0.337246453,0,536,49,104.3013333,105,14.58333746,212.6737316,71,184,113,1.053507176,3.00787717,92,105,113,0.139819281,116.1416,5.673882075,481.7383494,9107.894497,782260,1789767.518,1823270.103,1.018718959
CIMG0432.JPG,26,3,1,0,0,0,0,0,0.000533333,0.11,0.888,0.001466667,0,0,0,0,0.055733333,0.942,0.002266667,0,0,0,0.000133333,0.2464,0.752933333,0.000533333,0,0,200.698,8.283742874,-0.722228055,171.0338667,7.236641927,-0.350858631,132.4158667,7.670861854,-0.30460587,16.81773333,1.004247079,86.84706667,4.188772063,200.698,8.283742874,16.81773333,86.84706667,182.9326667,6.998066368,133.1736,1.169043643,151.9646667,1.030057388,0.0756,0.034933333,0.0304,0.017333333,0.0108,0.007466667,0.006666667,0.0056,0.006,0.005866667,0.006133333,0.007333333,0.007066667,0.013466667,0.006,0.0104,0.004,0.006666667,0.004666667,0.005733333,0.010533333,0.016933333,0.025866667,0.0312,0.061866667,0.581466667,0.049200536,0.005501454,0.049098272,0.005406459,0.97546109,0.002693824,0.941896077,0.003578751,0.271836,0.084662617,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,8.921750369,0.021466667,29.9765374,18.32906633,140.6556078,0.022822797,1.853953096,11.21826667,14.78527095,0.152411224,0.067443284,0.266618244,0,1800,51,175.5134667,176,7.493478408,56.15221865,132,210,78,-0.441260512,1.188054931,171,176,180,0.042694607,126.3494667,4.915964453,576.6858401,15202.82548,1316351,1867750.705,2457393.096,1.315696516
CIMG0152(2).JPG,6,0,5,0,0,0.001066667,0.028666667,0.125466667,0.45,0.312666667,0.068666667,0.013466667,0,0.000533333,0.019066667,0.087866667,0.342666667,0.448533333,0.0908,0.010533333,0.000666667,0.004266667,0.041733333,0.22,0.5508,0.168,0.014533333,0,153.2310667,28.11091025,0.063524056,160.4413333,26.78390359,-0.318045513,139.5270667,23.95798964,-0.445373997,46.19426667,20.43310371,34.75466667,20.22729702,161.2413333,27.27619521,46.19426667,34.75466667,165.3938667,25.75554443,121.6572,4.309085923,137.9604,7.266977719,0.076266667,0.0444,0.030133333,0.016,0.010533333,0.0064,0.004,0.004133333,0.004533333,0.0036,0.004533333,0.005466667,0.005866667,0.008666667,0.004133333,0.0076,0.003466667,0.005733333,0.005733333,0.0092,0.011333333,0.016,0.022933333,0.028133333,0.064266667,0.596933333,0.783120002,0.167444555,0.589911894,0.081521391,0.724181217,0.032500783,0.370235478,0.012278684,0.483970156,0.114637749,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,8.908097882,0.344933333,105.2372679,72.89114886,565.6730504,-0.042051237,1.768372845,39.96373333,52.48045689,0.153059728,0.0659583,0.286342621,0,1281,47,155.9069333,157,26.32941331,693.2380053,47,248,201,-0.247196113,0.778016011,141,157,171,0.16887904,108.9885333,6.701489786,1599.390102,13599.3943,1169302,3280972.477,8714453.286,2.656058028
